timestamp,xapp_id,ue_id,cell_id,action_type,expected_action,action_context_match,rsrp,sinr,cell_load,throughput_mbps,latency_ms,performance_delta,degradation_flag,message_frequency,repeat_target_count,unique_target_ratio,rolling_degradation_count,persistent_target_flag,context_violation_score,is_malicious
2026-01-01 00:00:00.000,xapp_2,52,5,no_action,no_action,1,-85.65005471614961,11.92285115200832,42.03290360169066,73.83704999972933,59.09360064883701,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.100,xapp_2,75,3,no_action,no_action,1,-72.8667325422671,16.39520646100069,75.1577292720979,82.41235794139794,71.18365817504827,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.200,xapp_2,22,5,no_action,no_action,1,-94.64702507218811,12.374150964109262,51.42929751368788,74.8275080439128,63.34049779273468,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.300,xapp_1,89,1,power_increase,power_increase,1,-97.39266270197683,2.804470924719883,69.05161837557196,38.553916736311834,81.7213382630661,2,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.400,xapp_2,62,3,no_action,no_action,1,-88.86028318090676,14.826739078862003,77.01508898253816,79.68584259868646,73.68080541240707,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.500,xapp_2,21,1,no_action,no_action,1,-90.83796438643546,11.996806550405974,55.62459375310085,74.00170553226587,65.81549032614444,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.600,xapp_2,60,4,no_action,no_action,1,-94.2691904307399,14.972360688399368,56.55824319252065,79.95011302655871,63.306760907860955,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.700,xapp_1,6,2,no_action,no_action,1,-86.88520869395101,12.692671409129083,60.99985917762937,75.50664070946209,67.8072581796856,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.800,xapp_1,90,4,no_action,no_action,1,-84.09226736003671,15.856841405949853,58.265275764176394,81.50524655587981,63.275796476138346,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:00.900,xapp_0,82,5,no_action,no_action,1,-92.40882956471431,17.304081500743187,61.28885207446222,83.88186951747493,63.34034453648792,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:01.000,xapp_0,41,5,no_action,no_action,1,-85.34301764229569,19.438742297966787,73.41498495163142,87.0646903474142,67.26875017784893,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:01.100,xapp_0,41,4,no_action,no_action,1,-83.96001762204212,16.65631715701782,74.63317690683539,82.84225089405787,70.66027129639987,0,0,2,2,0.5,0,0,0,0
2026-01-01 00:00:01.200,xapp_1,33,5,no_action,no_action,1,-83.49979342084642,21.781200142854114,58.91984817629499,90.19543693922607,57.678723945293385,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:01.300,xapp_0,47,3,no_action,no_action,1,-81.97173681686381,16.80697802754207,83.07054849698955,83.08741592715408,74.7282962209527,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:01.400,xapp_2,14,3,power_increase,power_increase,1,-110.95796083271796,19.10951252187612,61.30570602357257,86.59612408675775,61.543340489910165,2,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:01.500,xapp_0,96,4,no_action,no_action,1,-92.39205880372694,13.90164056081244,65.35668857267619,77.94798528821866,68.77670372552566,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:01.600,xapp_0,15,3,no_action,no_action,1,-77.016636005269,19.118665384875708,64.39588868468358,86.60925397826604,63.07927895746609,0,0,1,1,1.0,0,0,0,0
2026-01-01 00:00:01.700,xapp_1,57,5,no_action,no_action,1,-82.82695693031243,16.285584350281397,64.71769343794757,82.22994941089112,66.07326236869238,0,0,1,1,1.0,0,0,0,0
